source_path,module,old_fqcn,target_fqcn,role,phase
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/BaseNode.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.BaseNode,com.shiyu.ai.agent.contract.node.BaseNode,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/InputSource.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.InputSource,com.shiyu.ai.agent.contract.node.InputSource,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/NodeConfig.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.NodeConfig,com.shiyu.ai.agent.contract.node.NodeConfig,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/NodeFields.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.NodeFields,com.shiyu.ai.agent.contract.node.NodeFields,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/NodeInput.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.NodeInput,com.shiyu.ai.agent.contract.node.NodeInput,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/NodeInputParam.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.NodeInputParam,com.shiyu.ai.agent.contract.node.NodeInputParam,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/NodeOutput.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.NodeOutput,com.shiyu.ai.agent.contract.node.NodeOutput,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/NodeType.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.NodeType,com.shiyu.ai.agent.contract.node.NodeType,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/node/creator/NodeCreator.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.node.creator.NodeCreator,com.shiyu.ai.agent.contract.node.creator.NodeCreator,contract,5
modules/domains/agent/shiyu-agent-contract/src/main/java/com/shiyu/ai/agent/contract/runtime/AiRun.java,shiyu-agent-contract,com.shiyu.ai.agent.contract.runtime.AiRun,com.shiyu.ai.agent.contract.runtime.AiRun,contract,5
